Date, AMO 
1854,0.28
1854.08333333333,0.34
1854.16666666667,0.34
1854.25,0.16
1854.33333333333,0.02
1854.41666666667,0.18
1854.5,0.07
1854.58333333333,0.20
1854.66666666667,0.04
1854.75,0.09
1854.83333333333,0.20
1854.91666666667,0.41
1855,0.29
1855.08333333333,0.26
1855.16666666667,0.13
1855.25,0.01
1855.33333333333,0.10
1855.41666666667,0.06
1855.5,0.07
1855.58333333333,0.14
1855.66666666667,0.18
1855.75,0.19
1855.83333333333,0.31
1855.91666666667,0.14
1856,0.10
1856.08333333333,0.21
1856.16666666667,0.12
1856.25,0.17
1856.33333333333,0.22
1856.41666666667,0.18
1856.5,0.34
1856.58333333333,0.16
1856.66666666667,0.04
1856.75,0.04
1856.83333333333,0.01
1856.91666666667,0.11
1857,0.10
1857.08333333333,0.03
1857.16666666667,0.15
1857.25,0.22
1857.33333333333,0.33
1857.41666666667,0.22
1857.5,0.29
1857.58333333333,0.17
1857.66666666667,0.13
1857.75,0.27
1857.83333333333,0.32
1857.91666666667,0.07
1858,0.13
1858.08333333333,0.27
1858.16666666667,0.40
1858.25,0.17
1858.33333333333,0.25
1858.41666666667,0.28
1858.5,0.39
1858.58333333333,0.42
1858.66666666667,0.27
1858.75,0.11
1858.83333333333,0.04
1858.91666666667,0.13
1859,0.29
1859.08333333333,0.22
1859.16666666667,0.08
1859.25,0.13
1859.33333333333,0.08
1859.41666666667,0.12
1859.5,0.20
1859.58333333333,0.08
1859.66666666667,0.17
1859.75,0.13
1859.83333333333,0.09
1859.91666666667,0.02
1860,0.04
1860.08333333333,0.08
1860.16666666667,0.02
1860.25,0.02
1860.33333333333,0.10
1860.41666666667,0.17
1860.5,0.23
1860.58333333333,0.35
1860.66666666667,0.32
1860.75,0.08
1860.83333333333,0.31
1860.91666666667,0.34
1861,0.01
1861.08333333333,0.34
1861.16666666667,0.24
1861.25,0.04
1861.33333333333,0.14
1861.41666666667,0.23
1861.5,0.03
1861.58333333333,0.38
1861.66666666667,0.27
1861.75,0.11
1861.83333333333,0.11
1861.91666666667,0.02
1862,0.25
1862.08333333333,0.13
1862.16666666667,0.16
1862.25,0.45
1862.33333333333,0.50
1862.41666666667,0.51
1862.5,0.76
1862.58333333333,0.61
1862.66666666667,0.49
1862.75,0.56
1862.83333333333,0.09
1862.91666666667,0.17
1863,0.37
1863.08333333333,0.34
1863.16666666667,0.18
1863.25,0.25
1863.33333333333,0.07
1863.41666666667,0.19
1863.5,0.37
1863.58333333333,0.22
1863.66666666667,0.20
1863.75,0.28
1863.83333333333,0.08
1863.91666666667,0.25
1864,0.39
1864.08333333333,0.41
1864.16666666667,0.47
1864.25,0.18
1864.33333333333,0.07
1864.41666666667,0.00
1864.5,0.09
1864.58333333333,0.17
1864.66666666667,0.00
1864.75,0.06
1864.83333333333,0.30
1864.91666666667,0.54
1865,0.03
1865.08333333333,0.20
1865.16666666667,0.19
1865.25,0.23
1865.33333333333,0.26
1865.41666666667,0.07
1865.5,0.25
1865.58333333333,0.14
1865.66666666667,0.11
1865.75,0.40
1865.83333333333,0.09
1865.91666666667,0.16
1866,0.11
1866.08333333333,0.07
1866.16666666667,0.09
1866.25,0.19
1866.33333333333,0.06
1866.41666666667,0.30
1866.5,0.13
1866.58333333333,0.17
1866.66666666667,0.08
1866.75,0.04
1866.83333333333,0.26
1866.91666666667,0.39
1867,0.25
1867.08333333333,0.12
1867.16666666667,0.01
1867.25,0.21
1867.33333333333,0.10
1867.41666666667,0.18
1867.5,0.13
1867.58333333333,0.07
1867.66666666667,0.05
1867.75,0.07
1867.83333333333,0.02
1867.91666666667,0.12
1868,0.09
1868.08333333333,0.07
1868.16666666667,0.23
1868.25,0.07
1868.33333333333,0.29
1868.41666666667,0.32
1868.5,0.12
1868.58333333333,0.11
1868.66666666667,0.33
1868.75,0.22
1868.83333333333,0.03
1868.91666666667,0.24
1869,0.18
1869.08333333333,0.01
1869.16666666667,0.16
1869.25,0.08
1869.33333333333,0.01
1869.41666666667,0.02
1869.5,0.02
1869.58333333333,0.25
1869.66666666667,0.16
1869.75,0.15
1869.83333333333,0.03
1869.91666666667,0.01
1870,0.11
1870.08333333333,0.16
1870.16666666667,0.03
1870.25,0.05
1870.33333333333,0.05
1870.41666666667,0.24
1870.5,0.10
1870.58333333333,0.29
1870.66666666667,0.22
1870.75,0.05
1870.83333333333,0.04
1870.91666666667,0.01
1871,0.34
1871.08333333333,0.30
1871.16666666667,0.10
1871.25,0.06
1871.33333333333,0.16
1871.41666666667,0.18
1871.5,0.13
1871.58333333333,0.17
1871.66666666667,0.31
1871.75,0.39
1871.83333333333,0.03
1871.91666666667,0.01
1872,0.19
1872.08333333333,0.35
1872.16666666667,0.43
1872.25,0.35
1872.33333333333,0.14
1872.41666666667,0.11
1872.5,0.12
1872.58333333333,0.15
1872.66666666667,0.06
1872.75,0.12
1872.83333333333,0.29
1872.91666666667,0.24
1873,0.00
1873.08333333333,0.23
1873.16666666667,0.34
1873.25,0.37
1873.33333333333,0.24
1873.41666666667,0.27
1873.5,0.34
1873.58333333333,0.05
1873.66666666667,0.04
1873.75,0.16
1873.83333333333,0.03
1873.91666666667,0.14
1874,0.12
1874.08333333333,0.01
1874.16666666667,0.03
1874.25,0.07
1874.33333333333,0.14
1874.41666666667,0.13
1874.5,0.05
1874.58333333333,0.02
1874.66666666667,0.01
1874.75,0.08
1874.83333333333,0.24
1874.91666666667,0.39
1875,0.21
1875.08333333333,0.03
1875.16666666667,0.12
1875.25,0.14
1875.33333333333,0.08
1875.41666666667,0.07
1875.5,0.12
1875.58333333333,0.16
1875.66666666667,0.04
1875.75,0.35
1875.83333333333,0.08
1875.91666666667,0.04
1876,0.08
1876.08333333333,0.18
1876.16666666667,0.35
1876.25,0.53
1876.33333333333,0.38
1876.41666666667,0.19
1876.5,0.10
1876.58333333333,0.10
1876.66666666667,0.28
1876.75,0.55
1876.83333333333,0.20
1876.91666666667,0.13
1877,0.03
1877.08333333333,0.22
1877.16666666667,0.31
1877.25,0.26
1877.33333333333,0.34
1877.41666666667,0.42
1877.5,0.39
1877.58333333333,0.23
1877.66666666667,0.37
1877.75,0.73
1877.83333333333,0.67
1877.91666666667,0.62
1878,0.45
1878.08333333333,0.36
1878.16666666667,0.74
1878.25,0.69
1878.33333333333,0.62
1878.41666666667,0.47
1878.5,0.38
1878.58333333333,0.64
1878.66666666667,0.34
1878.75,0.04
1878.83333333333,0.04
1878.91666666667,0.43
1879,0.13
1879.08333333333,0.20
1879.16666666667,0.06
1879.25,0.09
1879.33333333333,0.21
1879.41666666667,0.09
1879.5,0.08
1879.58333333333,0.21
1879.66666666667,0.07
1879.75,0.36
1879.83333333333,0.19
1879.91666666667,0.10
1880,0.15
1880.08333333333,0.17
1880.16666666667,0.18
1880.25,0.11
1880.33333333333,0.13
1880.41666666667,0.19
1880.5,0.08
1880.58333333333,0.02
1880.66666666667,0.03
1880.75,0.15
1880.83333333333,0.03
1880.91666666667,0.00
1881,0.28
1881.08333333333,0.36
1881.16666666667,0.23
1881.25,0.06
1881.33333333333,0.10
1881.41666666667,0.08
1881.5,0.06
1881.58333333333,0.19
1881.66666666667,0.15
1881.75,0.26
1881.83333333333,0.40
1881.91666666667,0.36
1882,0.03
1882.08333333333,0.04
1882.16666666667,0.09
1882.25,0.11
1882.33333333333,0.22
1882.41666666667,0.17
1882.5,0.13
1882.58333333333,0.19
1882.66666666667,0.28
1882.75,0.12
1882.83333333333,0.03
1882.91666666667,0.00
1883,0.07
1883.08333333333,0.23
1883.16666666667,0.37
1883.25,0.36
1883.33333333333,0.42
1883.41666666667,0.39
1883.5,0.43
1883.58333333333,0.49
1883.66666666667,0.63
1883.75,0.36
1883.83333333333,0.19
1883.91666666667,0.05
1884,0.19
1884.08333333333,0.19
1884.16666666667,0.28
1884.25,0.43
1884.33333333333,0.25
1884.41666666667,0.48
1884.5,0.68
1884.58333333333,0.53
1884.66666666667,0.52
1884.75,0.41
1884.83333333333,0.48
1884.91666666667,0.23
1885,0.22
1885.08333333333,0.20
1885.16666666667,0.29
1885.25,0.23
1885.33333333333,0.23
1885.41666666667,0.41
1885.5,0.41
1885.58333333333,0.23
1885.66666666667,0.26
1885.75,0.08
1885.83333333333,0.04
1885.91666666667,0.01
1886,0.15
1886.08333333333,0.15
1886.16666666667,0.05
1886.25,0.07
1886.33333333333,0.14
1886.41666666667,0.03
1886.5,0.09
1886.58333333333,0.32
1886.66666666667,0.39
1886.75,0.18
1886.83333333333,0.19
1886.91666666667,0.18
1887,0.28
1887.08333333333,0.22
1887.16666666667,0.17
1887.25,0.21
1887.33333333333,0.12
1887.41666666667,0.08
1887.5,0.04
1887.58333333333,0.21
1887.66666666667,0.29
1887.75,0.07
1887.83333333333,0.00
1887.91666666667,0.02
1888,0.05
1888.08333333333,0.03
1888.16666666667,0.05
1888.25,0.29
1888.33333333333,0.14
1888.41666666667,0.07
1888.5,0.34
1888.58333333333,0.41
1888.66666666667,0.31
1888.75,0.14
1888.83333333333,0.08
1888.91666666667,0.03
1889,0.10
1889.08333333333,0.11
1889.16666666667,0.02
1889.25,0.02
1889.33333333333,0.04
1889.41666666667,0.13
1889.5,0.34
1889.58333333333,0.32
1889.66666666667,0.26
1889.75,0.19
1889.83333333333,0.02
1889.91666666667,0.06
1890,0.13
1890.08333333333,0.21
1890.16666666667,0.29
1890.25,0.52
1890.33333333333,0.47
1890.41666666667,0.47
1890.5,0.76
1890.58333333333,0.86
1890.66666666667,0.65
1890.75,0.24
1890.83333333333,0.32
1890.91666666667,0.47
1891,0.57
1891.08333333333,0.41
1891.16666666667,0.28
1891.25,0.20
1891.33333333333,0.23
1891.41666666667,0.28
1891.5,0.24
1891.58333333333,0.28
1891.66666666667,0.25
1891.75,0.35
1891.83333333333,0.52
1891.91666666667,0.29
1892,0.22
1892.08333333333,0.26
1892.16666666667,0.24
1892.25,0.37
1892.33333333333,0.55
1892.41666666667,0.66
1892.5,0.68
1892.58333333333,0.51
1892.66666666667,0.62
1892.75,0.61
1892.83333333333,0.43
1892.91666666667,0.34
1893,0.22
1893.08333333333,0.25
1893.16666666667,0.38
1893.25,0.45
1893.33333333333,0.37
1893.41666666667,0.18
1893.5,0.30
1893.58333333333,0.27
1893.66666666667,0.32
1893.75,0.21
1893.83333333333,0.14
1893.91666666667,0.21
1894,0.30
1894.08333333333,0.36
1894.16666666667,0.48
1894.25,0.60
1894.33333333333,0.46
1894.41666666667,0.62
1894.5,0.55
1894.58333333333,0.64
1894.66666666667,0.53
1894.75,0.56
1894.83333333333,0.52
1894.91666666667,0.39
1895,0.28
1895.08333333333,0.39
1895.16666666667,0.60
1895.25,0.70
1895.33333333333,0.60
1895.41666666667,0.51
1895.5,0.40
1895.58333333333,0.45
1895.66666666667,0.24
1895.75,0.13
1895.83333333333,0.22
1895.91666666667,0.21
1896,0.27
1896.08333333333,0.23
1896.16666666667,0.24
1896.25,0.22
1896.33333333333,0.14
1896.41666666667,0.03
1896.5,0.21
1896.58333333333,0.15
1896.66666666667,0.04
1896.75,0.08
1896.83333333333,0.03
1896.91666666667,0.12
1897,0.26
1897.08333333333,0.13
1897.16666666667,0.06
1897.25,0.01
1897.33333333333,0.11
1897.41666666667,0.17
1897.5,0.17
1897.58333333333,0.33
1897.66666666667,0.36
1897.75,0.27
1897.83333333333,0.20
1897.91666666667,0.26
1898,0.25
1898.08333333333,0.16
1898.16666666667,0.13
1898.25,0.24
1898.33333333333,0.24
1898.41666666667,0.13
1898.5,0.10
1898.58333333333,0.12
1898.66666666667,0.11
1898.75,0.25
1898.83333333333,0.36
1898.91666666667,0.34
1899,0.21
1899.08333333333,0.30
1899.16666666667,0.35
1899.25,0.13
1899.33333333333,0.12
1899.41666666667,0.23
1899.5,0.21
1899.58333333333,0.05
1899.66666666667,0.09
1899.75,0.20
1899.83333333333,0.03
1899.91666666667,0.07
1900,0.07
1900.08333333333,0.01
1900.16666666667,0.15
1900.25,0.19
1900.33333333333,0.39
1900.41666666667,0.43
1900.5,0.40
1900.58333333333,0.33
1900.66666666667,0.27
1900.75,0.14
1900.83333333333,0.17
1900.91666666667,0.16
1901,0.12
1901.08333333333,0.09
1901.16666666667,0.23
1901.25,0.24
1901.33333333333,0.21
1901.41666666667,0.11
1901.5,0.14
1901.58333333333,0.12
1901.66666666667,0.19
1901.75,0.33
1901.83333333333,0.42
1901.91666666667,0.51
1902,0.30
1902.08333333333,0.36
1902.16666666667,0.41
1902.25,0.51
1902.33333333333,0.44
1902.41666666667,0.63
1902.5,0.70
1902.58333333333,0.60
1902.66666666667,0.45
1902.75,0.26
1902.83333333333,0.28
1902.91666666667,0.37
1903,0.38
1903.08333333333,0.28
1903.16666666667,0.27
1903.25,0.36
1903.33333333333,0.44
1903.41666666667,0.68
1903.5,0.81
1903.58333333333,1.00
1903.66666666667,0.84
1903.75,0.73
1903.83333333333,0.60
1903.91666666667,0.63
1904,0.65
1904.08333333333,0.71
1904.16666666667,0.80
1904.25,0.82
1904.33333333333,0.80
1904.41666666667,1.01
1904.5,0.96
1904.58333333333,0.82
1904.66666666667,0.92
1904.75,0.76
1904.83333333333,0.58
1904.91666666667,0.55
1905,0.65
1905.08333333333,0.67
1905.16666666667,0.66
1905.25,0.62
1905.33333333333,0.50
1905.41666666667,0.66
1905.5,0.64
1905.58333333333,0.78
1905.66666666667,0.86
1905.75,0.68
1905.83333333333,0.63
1905.91666666667,0.65
1906,0.32
1906.08333333333,0.27
1906.16666666667,0.35
1906.25,0.39
1906.33333333333,0.49
1906.41666666667,0.34
1906.5,0.46
1906.58333333333,0.49
1906.66666666667,0.53
1906.75,0.49
1906.83333333333,0.29
1906.91666666667,0.47
1907,0.52
1907.08333333333,0.61
1907.16666666667,0.53
1907.25,0.51
1907.33333333333,0.59
1907.41666666667,0.71
1907.5,0.78
1907.58333333333,0.83
1907.66666666667,0.59
1907.75,0.49
1907.83333333333,0.53
1907.91666666667,0.50
1908,0.53
1908.08333333333,0.56
1908.16666666667,0.55
1908.25,0.70
1908.33333333333,0.59
1908.41666666667,0.47
1908.5,0.39
1908.58333333333,0.52
1908.66666666667,0.55
1908.75,0.48
1908.83333333333,0.41
1908.91666666667,0.34
1909,0.37
1909.08333333333,0.51
1909.16666666667,0.51
1909.25,0.64
1909.33333333333,0.53
1909.41666666667,0.70
1909.5,0.79
1909.58333333333,0.65
1909.66666666667,0.55
1909.75,0.48
1909.83333333333,0.65
1909.91666666667,0.57
1910,0.64
1910.08333333333,0.55
1910.16666666667,0.58
1910.25,0.59
1910.33333333333,0.71
1910.41666666667,0.80
1910.5,0.86
1910.58333333333,0.71
1910.66666666667,0.50
1910.75,0.48
1910.83333333333,0.34
1910.91666666667,0.46
1911,0.50
1911.08333333333,0.47
1911.16666666667,0.63
1911.25,0.70
1911.33333333333,0.64
1911.41666666667,0.57
1911.5,0.55
1911.58333333333,0.51
1911.66666666667,0.48
1911.75,0.40
1911.83333333333,0.46
1911.91666666667,0.46
1912,0.50
1912.08333333333,0.54
1912.16666666667,0.51
1912.25,0.48
1912.33333333333,0.46
1912.41666666667,0.61
1912.5,0.84
1912.58333333333,1.07
1912.66666666667,0.84
1912.75,0.64
1912.83333333333,0.62
1912.91666666667,0.53
1913,0.49
1913.08333333333,0.44
1913.16666666667,0.51
1913.25,0.77
1913.33333333333,0.80
1913.41666666667,0.96
1913.5,0.88
1913.58333333333,0.86
1913.66666666667,0.77
1913.75,0.57
1913.83333333333,0.53
1913.91666666667,0.37
1914,0.33
1914.08333333333,0.44
1914.16666666667,0.63
1914.25,0.58
1914.33333333333,0.55
1914.41666666667,0.67
1914.5,0.88
1914.58333333333,0.85
1914.66666666667,0.53
1914.75,0.24
1914.83333333333,0.25
1914.91666666667,0.29
1915,0.24
1915.08333333333,0.15
1915.16666666667,0.11
1915.25,0.17
1915.33333333333,0.04
1915.41666666667,0.02
1915.5,0.03
1915.58333333333,0.03
1915.66666666667,0.04
1915.75,0.06
1915.83333333333,0.04
1915.91666666667,0.08
1916,0.18
1916.08333333333,0.15
1916.16666666667,0.33
1916.25,0.33
1916.33333333333,0.26
1916.41666666667,0.27
1916.5,0.40
1916.58333333333,0.53
1916.66666666667,0.44
1916.75,0.16
1916.83333333333,0.42
1916.91666666667,0.47
1917,0.52
1917.08333333333,0.49
1917.16666666667,0.52
1917.25,0.57
1917.33333333333,0.52
1917.41666666667,0.43
1917.5,0.45
1917.58333333333,0.47
1917.66666666667,0.68
1917.75,0.51
1917.83333333333,0.39
1917.91666666667,0.30
1918,0.27
1918.08333333333,0.34
1918.16666666667,0.50
1918.25,0.51
1918.33333333333,0.48
1918.41666666667,0.58
1918.5,0.69
1918.58333333333,0.78
1918.66666666667,0.72
1918.75,0.58
1918.83333333333,0.34
1918.91666666667,0.15
1919,0.19
1919.08333333333,0.11
1919.16666666667,0.11
1919.25,0.28
1919.33333333333,0.40
1919.41666666667,0.54
1919.5,0.73
1919.58333333333,0.49
1919.66666666667,0.31
1919.75,0.19
1919.83333333333,0.31
1919.91666666667,0.37
1920,0.45
1920.08333333333,0.44
1920.16666666667,0.42
1920.25,0.44
1920.33333333333,0.50
1920.41666666667,0.62
1920.5,0.76
1920.58333333333,0.76
1920.66666666667,0.52
1920.75,0.40
1920.83333333333,0.43
1920.91666666667,0.42
1921,0.37
1921.08333333333,0.25
1921.16666666667,0.24
1921.25,0.29
1921.33333333333,0.47
1921.41666666667,0.48
1921.5,0.36
1921.58333333333,0.64
1921.66666666667,0.44
1921.75,0.10
1921.83333333333,0.26
1921.91666666667,0.16
1922,0.21
1922.08333333333,0.24
1922.16666666667,0.42
1922.25,0.58
1922.33333333333,0.62
1922.41666666667,0.60
1922.5,0.83
1922.58333333333,0.74
1922.66666666667,0.64
1922.75,0.43
1922.83333333333,0.45
1922.91666666667,0.38
1923,0.40
1923.08333333333,0.49
1923.16666666667,0.53
1923.25,0.62
1923.33333333333,0.55
1923.41666666667,0.66
1923.5,0.74
1923.58333333333,0.89
1923.66666666667,0.72
1923.75,0.45
1923.83333333333,0.38
1923.91666666667,0.13
1924,0.25
1924.08333333333,0.36
1924.16666666667,0.32
1924.25,0.34
1924.33333333333,0.22
1924.41666666667,0.39
1924.5,0.56
1924.58333333333,0.60
1924.66666666667,0.57
1924.75,0.45
1924.83333333333,0.45
1924.91666666667,0.40
1925,0.48
1925.08333333333,0.38
1925.16666666667,0.38
1925.25,0.39
1925.33333333333,0.30
1925.41666666667,0.45
1925.5,0.47
1925.58333333333,0.50
1925.66666666667,0.42
1925.75,0.27
1925.83333333333,0.36
1925.91666666667,0.15
1926,0.06
1926.08333333333,0.04
1926.16666666667,0.17
1926.25,0.10
1926.33333333333,0.18
1926.41666666667,0.23
1926.5,0.28
1926.58333333333,0.33
1926.66666666667,0.22
1926.75,0.07
1926.83333333333,0.09
1926.91666666667,0.01
1927,0.01
1927.08333333333,0.01
1927.16666666667,0.05
1927.25,0.10
1927.33333333333,0.01
1927.41666666667,0.14
1927.5,0.25
1927.58333333333,0.23
1927.66666666667,0.15
1927.75,0.04
1927.83333333333,0.10
1927.91666666667,0.03
1928,0.11
1928.08333333333,0.22
1928.16666666667,0.21
1928.25,0.39
1928.33333333333,0.36
1928.41666666667,0.30
1928.5,0.30
1928.58333333333,0.33
1928.66666666667,0.23
1928.75,0.17
1928.83333333333,0.20
1928.91666666667,0.22
1929,0.17
1929.08333333333,0.17
1929.16666666667,0.21
1929.25,0.23
1929.33333333333,0.46
1929.41666666667,0.57
1929.5,0.58
1929.58333333333,0.53
1929.66666666667,0.36
1929.75,0.21
1929.83333333333,0.22
1929.91666666667,0.32
1930,0.28
1930.08333333333,0.33
1930.16666666667,0.33
1930.25,0.51
1930.33333333333,0.36
1930.41666666667,0.38
1930.5,0.32
1930.58333333333,0.38
1930.66666666667,0.11
1930.75,0.10
1930.83333333333,0.17
1930.91666666667,0.08
1931,0.06
1931.08333333333,0.01
1931.16666666667,0.03
1931.25,0.02
1931.33333333333,0.06
1931.41666666667,0.01
1931.5,0.13
1931.58333333333,0.17
1931.66666666667,0.02
1931.75,0.17
1931.83333333333,0.03
1931.91666666667,0.09
1932,0.16
1932.08333333333,0.20
1932.16666666667,0.16
1932.25,0.12
1932.33333333333,0.02
1932.41666666667,0.01
1932.5,0.10
1932.58333333333,0.17
1932.66666666667,0.20
1932.75,0.11
1932.83333333333,0.04
1932.91666666667,0.04
1933,0.06
1933.08333333333,0.13
1933.16666666667,0.01
1933.25,0.14
1933.33333333333,0.16
1933.41666666667,0.06
1933.5,0.05
1933.58333333333,0.07
1933.66666666667,0.03
1933.75,0.33
1933.83333333333,0.12
1933.91666666667,0.12
1934,0.12
1934.08333333333,0.25
1934.16666666667,0.22
1934.25,0.25
1934.33333333333,0.30
1934.41666666667,0.16
1934.5,0.12
1934.58333333333,0.15
1934.66666666667,0.06
1934.75,0.10
1934.83333333333,0.01
1934.91666666667,0.05
1935,0.00
1935.08333333333,0.15
1935.16666666667,0.21
1935.25,0.11
1935.33333333333,0.10
1935.41666666667,0.12
1935.5,0.23
1935.58333333333,0.21
1935.66666666667,0.30
1935.75,0.17
1935.83333333333,0.02
1935.91666666667,0.02
1936,0.03
1936.08333333333,0.00
1936.16666666667,0.08
1936.25,0.03
1936.33333333333,0.02
1936.41666666667,0.09
1936.5,0.17
1936.58333333333,0.15
1936.66666666667,0.13
1936.75,0.00
1936.83333333333,0.07
1936.91666666667,0.03
1937,0.07
1937.08333333333,0.06
1937.16666666667,0.04
1937.25,0.07
1937.33333333333,0.00
1937.41666666667,0.35
1937.5,0.36
1937.58333333333,0.36
1937.66666666667,0.39
1937.75,0.22
1937.83333333333,0.24
1937.91666666667,0.28
1938,0.08
1938.08333333333,0.00
1938.16666666667,0.02
1938.25,0.00
1938.33333333333,0.03
1938.41666666667,0.06
1938.5,0.19
1938.58333333333,0.13
1938.66666666667,0.04
1938.75,0.07
